"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.597913500E-2,-4.366901398E0,5.417350292E0,6.209374905E0,9.325977092E0
1.838392600E-2,-4.390829563E0,5.405386448E0,6.104090691E0,9.260535085E0
2.078877000E-2,-4.400400639E0,5.395814896E0,6.027520180E0,9.209198862E0
2.319361400E-2,-4.393222332E0,5.383851051E0,5.972485542E0,9.162796416E0
2.559845800E-2,-4.405186653E0,5.383851051E0,5.931807518E0,9.142092869E0
2.800330100E-2,-4.405186653E0,5.352744102E0,5.876772404E0,9.088123721E0
3.040814500E-2,-4.393222332E0,5.338387489E0,5.795416355E0,9.021398682E0
3.281298900E-2,-4.378865242E0,5.326423168E0,5.740381718E0,8.972024679E0
3.521783300E-2,-4.374079704E0,5.304887772E0,5.726024628E0,8.947724044E0
3.762262400E-2,-4.383651257E0,5.283352375E0,5.709274769E0,8.928943333E0
4.002746800E-2,-4.407579422E0,5.259424210E0,5.709274769E0,8.926596091E0
4.243231200E-2,-4.443471432E0,5.245067120E0,5.673382282E0,8.913048523E0
4.483715500E-2,-4.457828522E0,5.218746185E0,5.654240131E0,8.892579960E0
4.724199900E-2,-4.462614059E0,5.206781864E0,5.654240131E0,8.887965633E0
4.964684300E-2,-4.462614059E0,5.192425251E0,5.647061348E0,8.874993301E0
5.205168700E-2,-4.421936035E0,5.182853699E0,5.651846886E0,8.852054224E0
5.445653000E-2,-4.376472473E0,5.194818020E0,5.670989513E0,8.848715592E0
5.686132200E-2,-4.323830605E0,5.178068161E0,5.714060307E0,8.840723170E0
5.926616600E-2,-4.304687977E0,5.156532764E0,5.781059742E0,8.862325906E0
6.167101000E-2,-4.295116425E0,5.125426292E0,5.812166214E0,8.859982837E0
6.407585300E-2,-4.295116425E0,5.120640278E0,5.824130535E0,8.865070696E0
6.648069700E-2,-4.299902439E0,5.087141037E0,5.852844238E0,8.867014751E0
6.888554100E-2,-4.287938118E0,5.060820103E0,5.900700569E0,8.877870275E0
7.129038500E-2,-4.266402721E0,5.067998409E0,5.931807518E0,8.892307939E0
7.369522800E-2,-4.232903481E0,5.053641319E0,5.927021503E0,8.864894041E0
7.610002000E-2,-4.218546391E0,5.056034088E0,5.929414749E0,8.861014254E0
7.850486400E-2,-4.223331928E0,5.058426857E0,5.936593056E0,8.869461762E0
8.090970800E-2,-4.199403763E0,5.046463013E0,5.912664890E0,8.835235538E0
8.331455100E-2,-4.185046673E0,5.044070244E0,5.910272121E0,8.825450517E0
8.571939500E-2,-4.201796532E0,5.027320385E0,5.912664890E0,8.825454688E0
8.812423900E-2,-4.170690060E0,5.027320385E0,5.927021503E0,8.820328210E0
9.052908300E-2,-4.201796532E0,5.039284706E0,5.977271080E0,8.875655131E0
9.293392600E-2,-4.297509670E0,5.151747227E0,6.015556335E0,9.010882691E0
9.533877000E-2,-4.292723656E0,5.185246468E0,6.027520180E0,9.035776493E0
9.774356200E-2,-4.211368084E0,5.192425251E0,6.049055576E0,9.015984388E0
1.001484050E-1,-4.118047714E0,5.170889854E0,6.082555294E0,8.982978224E0
1.025532490E-1,-4.039084435E0,5.149354458E0,6.130411625E0,8.967273894E0
1.049580930E-1,-3.919443607E0,5.125426292E0,6.149554253E0,8.913419679E0
1.073629370E-1,-3.811766386E0,5.106283665E0,6.168696880E0,8.868850943E0
1.097677800E-1,-3.732803345E0,4.998606682E0,6.209374905E0,8.802058070E0
1.121726240E-1,-3.670589924E0,4.888536453E0,6.159125328E0,8.677893976E0
1.145774680E-1,-3.665804386E0,4.888536453E0,6.206982136E0,8.709910314E0
1.169822600E-1,-3.656233072E0,4.929214478E0,6.297909260E0,8.793682772E0
1.193871030E-1,-3.615555048E0,5.008177757E0,6.269195557E0,8.800959930E0
1.217919470E-1,-3.553341627E0,5.118247509E0,6.300302029E0,8.860953670E0
1.241967910E-1,-3.469592810E0,5.192425251E0,6.422336102E0,8.957999512E0
1.266016350E-1,-3.321237803E0,5.283352375E0,6.422336102E0,8.954933493E0
1.290064780E-1,-3.160918713E0,5.398207664E0,6.369693756E0,8.927768570E0
1.314113220E-1,-3.058027267E0,5.474778175E0,6.407979012E0,8.965875409E0
1.338161660E-1,-2.957528830E0,5.515456200E0,6.422336102E0,8.967364990E0
1.362209580E-1,-2.914458036E0,5.522634506E0,6.367300987E0,8.918300253E0
1.386258010E-1,-2.902493954E0,5.498706341E0,6.355337143E0,8.891037778E0
1.410306450E-1,-2.845066071E0,5.460421085E0,6.348158360E0,8.843625610E0
1.434354890E-1,-2.754138947E0,5.414957523E0,6.307480335E0,8.757360019E0
1.458403330E-1,-2.708675146E0,5.367101192E0,6.266802311E0,8.684210238E0
1.482451760E-1,-2.682354212E0,5.276174068E0,6.233303070E0,8.595760820E0
1.506500200E-1,-2.689532757E0,5.216353416E0,6.214160442E0,8.547497845E0
1.530548640E-1,-2.770888567E0,5.187639713E0,6.161518097E0,8.517847997E0
