"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.489381000E-3,-2.177468538E0,5.063212872E0,7.188039303E0,9.057891743E0
1.189516200E-2,-2.129612207E0,5.063212872E0,7.049255371E0,8.936631022E0
1.430011000E-2,-2.105684042E0,5.075176716E0,6.946363926E0,8.856821991E0
1.670505800E-2,-2.069791555E0,5.067998409E0,6.860222340E0,8.776747433E0
1.910995300E-2,-2.048256159E0,5.058426857E0,6.764509678E0,8.691468618E0
2.151490100E-2,-2.029113531E0,5.096712112E0,6.675975323E0,8.640742016E0
2.391984900E-2,-2.014756680E0,5.082355499E0,6.604190350E0,8.573500573E0
2.632479700E-2,-1.995614052E0,5.077569485E0,6.539584160E0,8.516475110E0
2.872969300E-2,-1.998006940E0,5.079962254E0,6.494120598E0,8.483610704E0
3.113464100E-2,-1.995614052E0,5.077569485E0,6.448657036E0,8.446855325E0
3.353958900E-2,-1.983649969E0,5.087141037E0,6.391229153E0,8.406050274E0
3.594453700E-2,-1.988435626E0,5.082355499E0,6.343372822E0,8.367950312E0
3.834943300E-2,-1.998006940E0,5.079962254E0,6.297909260E0,8.334369159E0
4.075438100E-2,-2.017149448E0,5.060820103E0,6.266802311E0,8.303830635E0
4.315932800E-2,-2.019542217E0,5.036891460E0,6.230910301E0,8.262751935E0
4.556427600E-2,-2.019542217E0,5.022534847E0,6.199803352E0,8.230550933E0
4.796917200E-2,-2.005185366E0,4.984249592E0,6.159125328E0,8.173024969E0
5.037412000E-2,-1.998006940E0,4.984249592E0,6.123233318E0,8.144247172E0
5.277906800E-2,-1.988435626E0,4.957928658E0,6.068198204E0,8.084427145E0
5.518401600E-2,-1.986042738E0,4.931607246E0,6.015556335E0,8.028202402E0
5.758891200E-2,-1.964507341E0,4.917250633E0,5.962913990E0,7.974646458E0
5.999386000E-2,-1.966900229E0,4.900500774E0,5.905486107E0,7.922018083E0
6.239880800E-2,-1.957328916E0,4.874179840E0,5.860022545E0,7.869474558E0
6.480375600E-2,-1.945364833E0,4.850251675E0,5.807380676E0,7.812493581E0
6.720870300E-2,-1.945364833E0,4.843072891E0,5.754738331E0,7.768964707E0
6.961359900E-2,-1.966900229E0,4.819144726E0,5.699703693E0,7.718774164E0
7.201854700E-2,-1.957328916E0,4.795216560E0,5.651846886E0,7.666068847E0
7.442349500E-2,-1.945364833E0,4.768895626E0,5.594419479E0,7.604231660E0
7.682839100E-2,-1.931007862E0,4.759324074E0,5.513063431E0,7.534840768E0
7.923333900E-2,-1.907079697E0,4.725824833E0,5.407779217E0,7.430642595E0
8.163828700E-2,-1.904686809E0,4.704289436E0,5.333601475E0,7.362436800E0
8.404323500E-2,-1.887937069E0,4.675575256E0,5.254638672E0,7.282618892E0
8.644813100E-2,-1.856830359E0,4.666004181E0,5.158925533E0,7.199578228E0
8.885307800E-2,-1.840080619E0,4.630111694E0,5.096712112E0,7.127433293E0
9.125802600E-2,-1.844866276E0,4.603790760E0,5.051248550E0,7.079091245E0
9.366297400E-2,-1.875972986E0,4.565505505E0,4.998606682E0,7.024897431E0
9.606787000E-2,-1.887937069E0,4.520041943E0,4.941178799E0,6.957753478E0
9.847281800E-2,-1.892722726E0,4.474578381E0,4.917250633E0,6.912568610E0
1.008777660E-1,-1.914258122E0,4.429114819E0,4.910071850E0,6.884057510E0
1.032827140E-1,-1.926222205E0,4.381258488E0,4.914857864E0,6.860144732E0
1.056876620E-1,-1.904686809E0,4.333401680E0,4.905286312E0,6.816746714E0
1.080925580E-1,-1.887937069E0,4.278367043E0,4.943571568E0,6.804971034E0
1.104975060E-1,-1.861616015E0,4.208974838E0,4.969892502E0,6.773545221E0
1.129024530E-1,-1.840080619E0,4.139583111E0,5.024927616E0,6.765496476E0
1.153073490E-1,-1.825723648E0,4.113262177E0,5.048855782E0,6.763367303E0
1.177122970E-1,-1.832902193E0,4.051048756E0,5.099104881E0,6.765456161E0
1.201172450E-1,-1.837687731E0,3.988835335E0,5.156532764E0,6.773310393E0
1.225221930E-1,-1.849651933E0,3.938585997E0,5.223531723E0,6.798452441E0
1.249270890E-1,-1.856830359E0,3.902693748E0,5.271388054E0,6.816624494E0
1.273320370E-1,-1.875972986E0,3.857230186E0,5.326423168E0,6.838734029E0
1.297369850E-1,-1.902294040E0,3.785445452E0,5.376672268E0,6.845211798E0
1.321419330E-1,-1.897508383E0,3.732803345E0,5.429314613E0,6.856516320E0
1.345468280E-1,-1.931007862E0,3.704089403E0,5.489135265E0,6.897802232E0
1.369517760E-1,-1.947757602E0,3.656233072E0,5.560919762E0,6.934380185E0
1.393567240E-1,-1.954936147E0,3.601198196E0,5.620740414E0,6.955798055E0
1.417616720E-1,-1.952543259E0,3.553341627E0,5.692524910E0,6.988812614E0
1.441665680E-1,-1.926222205E0,3.500699520E0,5.761917114E0,7.011769958E0
1.465715160E-1,-1.921436548E0,3.460021496E0,5.824130535E0,7.041602350E0
1.489764640E-1,-1.904686809E0,3.397808075E0,5.898307800E0,7.068448660E0
1.513814120E-1,-1.880758643E0,3.330809116E0,5.977271080E0,7.096429525E0
1.537863080E-1,-1.854437590E0,3.287738323E0,6.046662807E0,7.128133919E0
1.561912560E-1,-1.832902193E0,3.239881754E0,6.123233318E0,7.165915887E0
1.585962030E-1,-1.804188251E0,3.206382275E0,6.195017815E0,7.205152896E0
1.610011510E-1,-1.770688772E0,3.127419233E0,6.259624004E0,7.217962487E0
1.634060470E-1,-1.727617979E0,3.062813044E0,6.295516491E0,7.211034288E0
1.658109950E-1,-1.677368641E0,3.019742250E0,6.321837425E0,7.204029237E0
1.682159430E-1,-1.682154298E0,2.952743053E0,6.336194515E0,7.189971875E0
1.706208910E-1,-1.698904037E0,2.892922640E0,6.302694798E0,7.139974653E0
1.730257870E-1,-1.672582984E0,2.861815929E0,6.242874146E0,7.068309688E0
1.754307350E-1,-1.605584025E0,2.821137905E0,6.211767673E0,7.008764283E0
1.778356830E-1,-1.555334687E0,2.787638426E0,6.226124287E0,6.996757650E0
1.802406310E-1,-1.490728498E0,2.744567633E0,6.252445698E0,6.989134435E0
1.826455260E-1,-1.454836130E0,2.706282377E0,6.216553211E0,6.934410306E0
1.850504740E-1,-1.447657704E0,2.703889608E0,6.173482418E0,6.893374864E0
1.874554220E-1,-1.459621787E0,2.718246460E0,6.094519138E0,6.830997226E0
1.898603700E-1,-1.483550072E0,2.718246460E0,5.970092297E0,6.725458101E0
1.922653180E-1,-1.567298889E0,2.727817774E0,5.831308842E0,6.625826622E0
1.946702140E-1,-1.646261930E0,2.720639229E0,5.678168297E0,6.507968298E0
1.970751620E-1,-1.722832322E0,2.711068153E0,5.510670662E0,6.378521215E0
1.994801100E-1,-1.820937991E0,2.672782898E0,5.331208706E0,6.235492751E0
2.018850580E-1,-1.926222205E0,2.627319336E0,5.158925533E0,6.101446676E0
2.042899530E-1,-2.024327993E0,2.562713146E0,5.022534847E0,5.990931379E0
2.066949010E-1,-2.091326952E0,2.512463808E0,4.907679081E0,5.896731024E0
2.090998490E-1,-2.160718918E0,2.423929453E0,4.802394867E0,5.797166264E0
2.115047450E-1,-2.194218397E0,2.356930256E0,4.723432064E0,5.716688296E0
2.139096930E-1,-2.244467735E0,2.275574446E0,4.663611412E0,5.653772712E0
2.163146410E-1,-2.285145521E0,2.201396942E0,4.603790760E0,5.591326132E0
