"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.930787000E-3,-2.890529871E0,6.619743824E0,5.937191010E0
2.917089100E-2,-3.367897987E0,6.415157318E0,5.344967365E0
4.841099500E-2,-3.539582968E0,6.616752625E0,5.469394207E0
6.765110000E-2,-4.188635826E0,6.644868374E0,6.828517437E0
8.689120400E-2,-3.864408493E0,5.966503143E0,8.367700577E0
1.061313080E-1,-3.192025423E0,5.404190063E0,9.206384659E0
1.253714120E-1,-2.281556368E0,5.164907455E0,9.160323143E0
1.446115160E-1,-1.898704767E0,5.014758110E0,8.636295319E0
1.638516200E-1,-2.123630047E0,4.867001057E0,8.692526817E0
1.830917250E-1,-1.054038405E0,4.643272400E0,9.160921097E0
2.023318290E-1,2.991028363E-3,4.321437836E0,9.870393753E0
2.215719330E-1,4.803591371E-1,4.247858524E0,9.979865074E0
2.408120370E-1,8.823533654E-1,4.128815651E0,9.360722542E0
2.600521410E-1,6.879365444E-2,4.083351612E0,9.582656860E0
2.792922450E-1,-1.265803218E0,4.329214573E0,1.087238789E1
2.985323500E-1,-1.084546804E0,4.747360229E0,1.142572784E1
3.177724540E-1,-9.164510965E-1,4.638486862E0,1.036331463E1
3.370125580E-1,-1.435693622E0,4.445864677E0,9.101100922E0
3.562526620E-1,-1.275374413E0,4.141975880E0,8.404191017E0
3.754927660E-1,-5.000999570E-1,3.249453068E0,5.760720730E0
3.947328700E-1,-3.337987661E-1,2.589632273E0,4.655236244E0
4.139729750E-1,1.100698471E0,3.508476257E0,5.086542606E0
4.332130790E-1,1.165304661E0,4.103092670E0,6.265605927E0
4.524531830E-1,2.949153781E-1,3.832703590E0,8.774480820E0
4.716932870E-1,-9.750752151E-2,3.861417532E0,1.038006496E1
4.909333910E-1,-2.518445849E-1,3.974478483E0,1.056909752E1
5.101734950E-1,-7.447660565E-1,4.138985157E0,9.435498238E0
5.294136000E-1,-1.252044439E0,4.494917393E0,8.132605553E0
5.486537040E-1,-7.591229677E-1,5.073980331E0,6.029912949E0
5.678938080E-1,-1.037288666E0,5.517848969E0,7.738986492E0
5.871339120E-1,-4.857429862E-1,5.333003521E0,8.955737114E0
6.063740160E-1,-5.312066078E-1,5.457430363E0,8.481958389E0
6.256141200E-1,-1.405783296E-1,5.305486202E0,9.905089378E0
6.448542250E-1,8.632107973E-1,4.503890514E0,1.122054386E1
6.640943290E-1,1.089930773E0,3.502494097E0,9.659226418E0
6.833344330E-1,1.585244983E-1,4.131806374E0,5.970690727E0
7.025745370E-1,5.180460811E-1,4.907679081E0,7.615756035E0
7.218146410E-1,1.471585870E0,4.652843475E0,1.008036327E1
7.410547450E-1,1.437488198E0,4.195814610E0,1.077488041E1
7.602948500E-1,6.909275651E-1,3.925425529E0,1.000857925E1
7.795349540E-1,8.039883971E-1,3.824328899E0,9.243474007E0
7.987750580E-1,1.573280931E0,3.506083488E0,1.036510944E1
8.180151620E-1,2.594418049E0,4.328616142E0,9.740582466E0
8.372551620E-1,2.310868502E0,4.767699242E0,8.609973907E0
8.564952660E-1,1.881955028E0,5.013561726E0,9.138189316E0
8.757353700E-1,1.999203324E0,4.955535889E0,9.622138023E0
8.949754750E-1,2.670390129E0,5.464010715E0,8.197212219E0
9.142155790E-1,1.951346874E0,6.230311871E0,7.369893551E0
9.334556830E-1,9.834501147E-1,5.483152866E0,8.246863365E0
9.526957870E-1,3.212364316E-1,4.460221291E0,8.816354752E0
9.719358910E-1,7.657032609E-1,4.294518471E0,8.002197266E0
9.911759950E-1,1.515853167E0,4.362115860E0,7.203592777E0
1.010416100E0,1.068395257E0,4.521238327E0,8.076375008E0
1.029656204E0,5.611169338E-1,4.408177376E0,9.595218658E0
1.048896308E0,-1.196411345E-2,3.760320902E0,9.835099220E0
1.068136412E0,5.599204898E-1,3.285943747E0,8.815756798E0
1.087376516E0,1.337587833E0,3.526422262E0,7.922037601E0
1.106616516E0,2.212164640E0,3.416950703E0,6.650850773E0
1.125856620E0,2.618346214E0,2.937189817E0,5.536393166E0
1.145096725E0,4.355535507E0,2.091925144E0,6.538387775E0
1.164336829E0,6.038288116E0,1.493121386E0,6.492924213E0
1.183576933E0,5.253442287E0,1.198205948E0,4.983651161E0
1.202817037E0,4.792225361E0,9.038887620E-1,4.510470867E0
1.222057558E0,5.806782246E0,6.550351977E-1,6.730412006E0
1.241297245E0,6.677769661E0,2.584248483E-1,1.046560764E1
1.260537350E0,6.385247231E0,7.417750359E-1,1.313659668E1
1.279777454E0,4.765306473E0,8.673982024E-1,1.485225010E1
1.299017558E0,1.695913076E0,1.312463164E0,1.656431389E1
1.318257558E0,-2.033899166E-2,2.501097918E0,1.623051643E1
1.337497662E0,1.728814393E-1,3.882952929E0,1.641775513E1
1.356737766E0,-1.056431174E0,4.683351994E0,1.686940002E1
1.375977870E0,-2.285145521E0,4.817350388E0,1.667019653E1
1.395217975E0,-2.642274380E0,4.432105541E0,1.734557152E1
1.414458079E0,-3.826721668E0,4.076173306E0,1.808734703E1
1.433698183E0,-5.151148796E0,3.588037491E0,1.604746437E1
1.452938287E0,-5.789434433E0,3.777070522E0,1.236371422E1
1.472178391E0,-4.899304390E0,3.949951887E0,9.568898201E0
1.491418391E0,-3.510270834E0,4.250251293E0,8.670990944E0
1.510658495E0,-3.971487284E0,4.586442947E0,7.256234646E0
1.529898600E0,-5.690132141E0,5.325825214E0,5.729015827E0
1.549138704E0,-5.710471153E0,5.921638012E0,3.200998545E0
1.568378808E0,-5.077569485E0,6.339783669E0,3.076571703E0
1.587618912E0,-2.648854733E0,6.044867992E0,7.170093060E0
1.606859016E0,4.893322289E-1,4.822135925E0,1.242592812E1
1.626099120E0,2.679363251E0,4.009174347E0,1.573221111E1
1.645339120E0,3.564707518E0,4.647459984E0,1.462373543E1
1.664579225E0,5.282155991E0,5.745167255E0,1.240080357E1
1.683819329E0,5.409573555E0,7.579265594E0,1.643510246E1
1.703059433E0,6.154339790E0,5.858228207E0,1.577049541E1
1.722299537E0,4.559523582E0,3.623929977E0,1.163151073E1
1.741539641E0,2.955734253E0,2.747558594E0,9.669994354E0
1.760779641E0,2.070389748E0,2.355733871E0,8.836095810E0
1.780019745E0,2.109871387E0,2.902493954E0,5.603392601E0
1.799259850E0,3.982254982E0,3.134597778E0,8.225327730E-1
1.818499954E0,5.076971531E0,3.061018467E0,-1.859821439E0
1.837740058E0,4.516452789E0,1.956730723E0,-7.926225066E-1
1.856980162E0,4.262813568E0,3.649054468E-1,4.165904045E0
1.876220266E0,5.686542988E0,-9.690931439E-2,8.569893837E0
1.895460370E0,7.271788120E0,8.691928387E-1,1.004447079E1
1.914700370E0,7.731808186E0,2.527418852E0,9.885348320E0
1.933940475E0,8.024929047E0,3.648456335E0,1.159262753E1
1.953180579E0,7.469195843E0,4.762315273E0,1.250130177E1
1.972420683E0,5.094917774E0,6.388238430E0,1.015334511E1
1.991660787E0,2.496312141E0,9.000602722E0,4.188037872E0
2.010900891E0,4.253242314E-1,1.076830006E1,3.462414265E0
2.030140891E0,-8.494520187E-2,1.151306629E1,6.420541286E0
2.049380995E0,1.857428551E0,1.001216793E1,9.270393372E0
2.068621100E0,2.479562521E0,8.945567131E0,1.086341476E1
2.087861204E0,-1.160518974E-1,1.037348461E1,8.367102623E0
2.107101308E0,-2.267797709E0,1.127677536E1,4.668995380E0
2.126341412E0,-3.332603693E0,9.659825325E0,2.856431961E0
2.145581412E0,-3.697509289E0,6.891927242E0,3.530609846E0
2.164821516E0,-4.226323128E0,4.741976261E0,4.475176334E0
2.184061620E0,-4.478765965E0,3.399602890E0,3.748954773E0
2.203301725E0,-3.981656790E0,2.598605394E0,2.925225735E0
2.222541829E0,-3.430111170E0,2.396411896E0,2.843271494E0
2.241781933E0,-4.066602230E0,2.833101988E0,4.063013077E0
2.261022037E0,-5.234897614E0,3.369094372E0,5.815157413E0
2.280262037E0,-3.946362734E0,4.014558315E0,7.390830994E0
2.299502141E0,-2.049452543E0,5.641079426E0,9.659226418E0
2.318742245E0,-1.977667928E0,8.358727455E0,1.175294685E1
2.337982350E0,-6.424728632E-1,1.011087227E1,1.014975548E1
