"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.804792200E-2,-2.732092738E-1,-1.078329086E0,-3.542252183E-1
4.728802700E-2,-5.447386503E-1,-1.409112334E0,-3.673588037E-1
6.652813100E-2,-7.959567904E-1,-1.590233684E0,-3.134499788E-1
8.576823500E-2,-9.472985864E-1,-1.497382283E0,-2.190713882E-1
1.050083390E-1,-9.353867173E-1,-1.419497013E0,-1.761581302E-1
1.242484430E-1,-7.916807532E-1,-1.491579056E0,-1.966221035E-1
1.434885470E-1,-6.606502533E-1,-1.415373683E0,-2.390772104E-1
1.627286520E-1,-6.065887213E-1,-1.448054910E0,-1.535561383E-1
1.819687560E-1,-6.009382010E-1,-1.620624304E0,-1.290451828E-2
2.012088600E-1,-5.555815101E-1,-1.730732679E0,-2.817613818E-2
2.204489640E-1,-4.173733592E-1,-1.674838543E0,-1.297324002E-1
2.396890680E-1,-3.695732057E-1,-1.234863162E0,-2.176969349E-1
2.589291720E-1,-4.622719288E-1,-6.333140731E-1,-2.500727773E-1
2.781692770E-1,-4.659371078E-1,-4.900662601E-1,-6.971494108E-2
2.974093810E-1,-2.806923687E-1,-6.650790572E-1,1.983019859E-1
3.166494850E-1,1.252272818E-2,-1.044426084E0,3.265835941E-1
3.358895890E-1,2.434296161E-1,-1.449582100E0,4.058432877E-1
3.551296930E-1,3.570504785E-1,-1.638033867E0,4.835758209E-1
3.743697970E-1,2.160934210E-1,-1.494022489E0,4.029416740E-1
3.936099020E-1,-2.266308367E-1,-1.395367861E0,3.169624507E-1
4.128500060E-1,-6.177369952E-1,-1.415220976E0,3.207803667E-1
4.320901100E-1,-7.886264324E-1,-1.153159976E0,2.749654949E-1
4.513302140E-1,-6.099484563E-1,-5.820014477E-1,3.197113574E-1
4.705703180E-1,-1.443168074E-1,-1.372918636E-1,5.022072196E-1
4.898104220E-1,2.816086709E-1,5.383245945E-1,7.129555345E-1
5.090505270E-1,5.734493136E-1,1.121547699E0,8.881210089E-1
5.282906310E-1,6.203331947E-1,1.876576662E0,1.084972262E0
5.475307350E-1,1.849393100E-1,2.114508390E0,1.126205564E0
5.667708390E-1,-5.836812854E-1,1.436295867E0,1.080696106E0
5.860109430E-1,-7.692314982E-1,8.807142973E-1,1.123151302E0
6.052510470E-1,-8.698714375E-1,5.742128938E-2,1.096731305E0
6.244911520E-1,-8.778126836E-1,-8.265000582E-1,1.117806196E0
6.437312560E-1,-5.079340935E-1,-5.667297840E-1,1.207603335E0
6.629713600E-1,-1.687513888E-1,8.811724186E-2,1.115210056E0
6.822114640E-1,-3.126100600E-1,-1.670715213E-1,1.052901864E0
7.014515680E-1,-7.869465351E-1,8.170316368E-2,1.108948708E0
7.206916720E-1,-7.142536640E-1,7.348703146E-1,1.183321476E0
7.399317770E-1,-6.026180983E-1,4.778489769E-1,1.136895657E0
7.591718810E-1,-4.134027362E-1,7.223476171E-1,1.257846951E0
7.784119850E-1,-3.660607338E-1,7.591522336E-1,1.359250546E0
7.976520890E-1,-3.051269650E-1,4.037816226E-1,1.556865215E0
8.168921930E-1,-1.174387559E-1,5.406153202E-1,1.649869442E0
8.361321930E-1,-1.227838174E-1,9.593631625E-1,1.405828953E0
8.553722970E-1,-1.950185746E-1,1.043204308E0,1.072907686E0
8.746124020E-1,-4.245510325E-2,1.294269800E0,8.662826419E-1
8.938525060E-1,1.440113783E-1,1.265559077E0,6.706531644E-1
9.130926100E-1,1.131627038E-1,9.251546860E-1,3.421606421E-1
9.323327140E-1,4.260781780E-2,4.610501826E-1,9.796743840E-2
9.515728180E-1,1.757763475E-1,1.983783394E-1,9.277509153E-2
9.708129220E-1,2.170097083E-1,2.496909797E-1,2.222784162E-1
9.900530270E-1,1.496618707E-2,3.856084049E-1,2.138790339E-1
1.009293131E0,-2.215912044E-1,2.776380479E-1,1.150716543E-1
1.028533235E0,-6.032289565E-2,8.063415438E-2,3.199404106E-2
1.047773339E0,3.100138903E-1,-1.241582632E-1,2.145662531E-2
1.067013443E0,6.159043908E-1,-3.532325625E-1,1.376736462E-1
1.086253547E0,6.554579139E-1,-4.729620516E-1,2.007454336E-1
1.105493547E0,5.474875569E-1,-3.532325625E-1,1.312595755E-1
1.124733652E0,3.132209182E-1,-4.720457494E-1,8.254310489E-2
1.143973756E0,-1.802051067E-2,-5.303833485E-1,1.540142894E-1
1.163213860E0,-3.043633699E-1,7.589995116E-2,1.733328775E-2
1.182453964E0,-8.474221826E-1,5.758927464E-1,-2.677878439E-1
1.201694068E0,-1.577863693E0,3.793470263E-1,-3.820195496E-1
1.220934589E0,-2.177427530E0,-5.064069033E-1,-5.449677706E-1
1.240174277E0,-2.387717724E0,-1.407127023E0,-8.641445637E-1
1.259414381E0,-2.261116028E0,-1.843895316E0,-1.178892612E0
1.278654485E0,-2.084117889E0,-1.586568594E0,-1.472565889E0
1.297894589E0,-1.806785345E0,-8.510873318E-1,-1.499902129E0
1.317134589E0,-1.425452948E0,-3.376555145E-1,-1.205312610E0
1.336374693E0,-1.080161691E0,-5.572614074E-1,-1.183626890E0
