"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.361448300E-2,-9.487541914E-1,6.024528980E0,7.555935860E0
3.285344100E-2,-8.297112584E-1,5.991029739E0,7.891529083E0
8.285344100E-2,-7.040880919E-1,5.837290764E0,8.207980156E0
1.328534410E-1,-3.104687333E-1,5.773283005E0,7.753942013E0
1.828534410E-1,-6.382854581E-1,5.941977024E0,7.639684677E0
2.328534410E-1,-6.131607890E-1,5.872584820E0,8.067401886E0
2.828534410E-1,-4.660021961E-1,5.845665932E0,8.176873207E0
3.328534410E-1,-7.010970116E-1,5.910272121E0,7.935796261E0
3.828534410E-1,-7.357929349E-1,5.964708805E0,7.619943619E0
4.328534410E-1,-6.089733839E-1,5.945566177E0,7.585845947E0
4.828534410E-1,-5.718846321E-1,5.873781204E0,7.847859859E0
5.328534410E-1,-5.593222976E-1,5.918646812E0,7.813164234E0
5.828534410E-1,-5.264210105E-1,5.915655613E0,8.129614830E0
6.328534410E-1,-4.989035130E-1,5.916254044E0,8.000402451E0
6.828534410E-1,-4.671986103E-1,5.861817360E0,7.871190071E0
7.328534410E-1,-4.959124923E-1,5.869594097E0,7.835896015E0
7.828534410E-1,-3.894318938E-1,5.879763603E0,7.953144073E0
8.328534410E-1,-4.384847581E-1,5.857629776E0,7.983054638E0
8.828534410E-1,-4.570291340E-1,5.874379635E0,7.841279984E0
9.328534410E-1,-4.079762697E-1,5.862415314E0,7.907082558E0
9.828534410E-1,-3.852444589E-1,5.860620975E0,7.899903774E0
1.032853441E0,-3.936193287E-1,5.843871117E0,7.962715626E0
1.082853441E0,-3.619144261E-1,5.846862316E0,7.926823139E0
1.132853441E0,-3.906283081E-1,5.865406513E0,7.908876896E0
1.182853441E0,-3.804588020E-1,5.866004944E0,7.863413334E0
1.232853441E0,-3.164508045E-1,5.846263885E0,7.965108395E0
1.282853441E0,-3.714857101E-1,5.857629776E0,7.904689789E0
1.332853441E0,-3.266202807E-1,5.850451469E0,7.908876896E0
1.382853441E0,-3.541377485E-1,5.840879917E0,7.935796261E0
1.432853441E0,-3.541377485E-1,5.840879917E0,7.935796261E0
1.482853441E0,-3.314059377E-1,5.846263885E0,7.853842258E0
