"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.578521200E-2,-9.048434347E-2,-1.933387071E-1,6.979130208E-2
1.038825030E-1,2.580903657E-2,-7.460185885E-2,6.834049523E-2
1.519797950E-1,6.520981342E-2,7.154753804E-2,-1.320995111E-2
2.000770870E-1,0.000000000E0,1.055268943E-1,-1.382081583E-2
2.481743780E-1,1.053741761E-2,6.192641705E-2,-1.244636998E-2
2.962716700E-1,8.292489499E-2,6.032289565E-2,-2.634354308E-2
3.443689620E-1,7.612902671E-2,-2.878700197E-2,-2.160934173E-2
3.924662530E-1,2.206749097E-2,-5.390881747E-2,1.450803876E-2
4.405635450E-1,-5.482511222E-2,-7.521272451E-2,2.939786762E-2
4.886607330E-1,-6.017018110E-2,-6.635518372E-2,2.878700197E-2
5.367580240E-1,-9.025526792E-2,-9.590577334E-2,2.160934173E-2
5.848553160E-1,-4.718930274E-2,-8.491020650E-2,1.412624773E-2
6.329526080E-1,1.985310577E-3,-6.177370250E-2,-4.352411721E-3
6.810498990E-1,1.817322709E-2,-3.397935256E-2,1.374445739E-3
7.291471910E-1,-9.697478265E-3,-2.725984156E-2,3.436114406E-3
7.772444830E-1,-5.650499370E-3,-2.099847607E-2,4.505127668E-3
8.253417740E-1,-8.170315996E-3,-3.504836559E-2,5.955931731E-3
8.734390660E-1,2.367100911E-3,-2.084576152E-2,5.345066893E-4
9.215363580E-1,-6.185005885E-3,-1.870773360E-2,1.015562657E-2
9.696336490E-1,-1.198822167E-2,-9.773836471E-3,5.879573524E-3
1.017730941E0,-9.850194678E-3,-1.992946304E-2,5.879573524E-3
1.065828233E0,5.039634649E-3,-7.406735327E-3,2.825249685E-3
1.113925524E0,-1.145371469E-3,-1.320995111E-2,4.352411721E-3
1.162022816E0,-7.101302966E-3,-5.421424750E-3,1.145371422E-2
1.210120108E0,-1.313359290E-2,-1.565340906E-2,5.421424750E-3
1.258217399E0,-6.108647794E-4,-7.406735327E-3,-3.665188793E-3
1.306314691E0,-1.023198478E-2,-5.803215317E-3,3.512472380E-3
1.354411983E0,-5.955931731E-3,2.290742996E-4,1.221729559E-3
1.402509274E0,4.428769462E-3,-6.872228696E-4,-2.290742996E-4
1.450606462E0,1.679878100E-3,-5.115992390E-3,-5.345066893E-4
1.498703753E0,-1.030834299E-2,1.374445739E-3,-4.123337101E-3
1.546801045E0,-4.352411721E-3,5.268708803E-3,-5.039634649E-3
1.594898337E0,-1.313359290E-2,1.298087649E-3,-7.788525894E-3
1.642995628E0,7.559451740E-3,4.810560029E-3,8.017600514E-3
1.691092920E0,7.941242307E-3,6.719512399E-3,-5.115992390E-3
1.739190212E0,-3.054323897E-4,6.414080039E-3,2.825249685E-3
1.787287503E0,1.084284950E-2,7.788525894E-3,-7.483093534E-3
1.835384795E0,1.473711245E-2,2.748891478E-3,-1.527161949E-4
1.883482087E0,6.566796452E-3,3.970621154E-3,6.566796452E-3
1.931579378E0,3.817904973E-3,2.519817324E-3,-9.010255337E-3
1.979676670E0,-5.955931731E-3,4.123337101E-3,-2.290742996E-4
2.027773962E0,-1.214093715E-2,-4.657844082E-3,-5.345067009E-3
2.075871253E0,-3.970621154E-3,2.443459118E-3,-6.643154658E-3
2.123968545E0,-8.399390616E-3,2.977965865E-3,-2.748891478E-3
2.172065837E0,-9.850194678E-3,-7.177661173E-3,1.374445739E-3
2.220163128E0,4.428769462E-3,-5.192350596E-3,-2.138026757E-3
2.268260524E0,-2.672533505E-3,-8.399390499E-4,5.421424750E-3
2.316357816E0,-6.872228812E-3,3.207040019E-3,-1.145371469E-3
2.364455108E0,-4.123337101E-3,9.010255337E-3,-2.138026757E-3
2.412552399E0,-1.756236190E-3,-7.101302966E-3,4.657844082E-3
2.460649691E0,8.017600514E-3,-7.635809947E-3,-5.421424750E-3
2.508746983E0,1.374445739E-3,3.436114406E-3,-4.657844082E-3
2.556844274E0,-2.290742937E-3,4.123337101E-3,-2.290742937E-3
2.604941566E0,7.635809947E-3,-4.276053514E-3,-1.527161949E-4
2.653038858E0,1.053741761E-2,-6.185005885E-3,-2.367100911E-3
2.701136149E0,5.650499370E-3,-4.199695308E-3,-5.039634649E-3
2.749233441E0,-7.483093534E-3,-7.635809743E-5,-4.810560029E-3
2.797330733E0,-4.505127668E-3,2.290742996E-4,-2.061668551E-3
2.845428024E0,-4.581485991E-4,5.726857111E-3,-3.588830587E-3
2.893525316E0,6.872228696E-4,2.061668551E-3,-7.635809598E-4
2.941622712E0,-4.352411721E-3,-7.712167688E-3,4.199695308E-3
2.989720003E0,4.963276442E-3,7.941242307E-3,-1.603520010E-3
3.037817295E0,-8.933897130E-3,-1.527161920E-3,2.825249685E-3
3.085914587E0,7.635809598E-4,-3.054323839E-3,3.054323897E-4
3.134011878E0,4.276053514E-3,-7.635809743E-5,-2.138026757E-3
3.182109170E0,-7.483093534E-3,-7.635809743E-5,-4.963276442E-3
3.230206462E0,1.145371469E-3,4.199695308E-3,-4.276053514E-3
3.278303753E0,5.879573524E-3,-1.756236190E-3,2.214384731E-3
3.326401045E0,1.603520010E-3,-4.505127668E-3,2.901607659E-3
3.374498337E0,-1.221729559E-3,-2.519817324E-3,-1.527161920E-3
3.422595733E0,1.679878100E-3,1.679878100E-3,-2.290742996E-4
3.470693024E0,1.023198478E-2,2.748891478E-3,-2.977965865E-3
3.518790316E0,1.221729536E-2,4.046979360E-3,-6.032289471E-3
3.566887608E0,4.046979360E-3,4.428769462E-3,-8.017600514E-3
3.614984899E0,-9.621120058E-3,-2.901607659E-3,-0.000000000E0
3.663082191E0,4.352411721E-3,4.810560029E-3,-2.138026757E-3
3.711179587E0,-7.712167688E-3,-1.450803829E-3,-4.657844082E-3
3.759276878E0,2.748891478E-3,5.345067009E-3,7.635809743E-5
3.807374170E0,-9.773836471E-3,-1.145371469E-3,1.221729559E-3
3.855471462E0,1.389717404E-2,6.719512399E-3,-5.345066893E-4
3.903568753E0,5.955931731E-3,-2.672533505E-3,3.817904799E-4
3.951666045E0,7.635809598E-4,2.672533505E-3,-1.985310577E-3
3.999763441E0,-1.175914705E-2,6.643154658E-3,-5.574141163E-3
4.047860733E0,-1.450803829E-3,3.817904799E-4,-1.145371469E-3
4.095958024E0,1.145371422E-2,5.345066893E-4,1.908952487E-3
4.144055316E0,5.955931731E-3,1.756236190E-3,-1.198822167E-2
4.192152608E0,1.122464053E-2,-2.290742996E-4,-1.656970754E-2
4.240249899E0,3.657552972E-2,3.054323897E-4,-2.466366626E-2
4.288347295E0,4.757109284E-2,1.153007243E-2,-4.451677203E-2
4.336444587E0,7.719803602E-2,3.657552972E-2,-5.955931544E-2
4.384541878E0,5.421425030E-2,2.298378758E-2,-2.641990222E-2
4.432639170E0,-7.635809598E-4,-4.810560029E-3,2.901607659E-3
4.480736462E0,-4.505127668E-3,-6.795870606E-3,-1.145371422E-2
4.528833858E0,1.038470119E-2,1.298087649E-2,-2.825249685E-3
4.576931149E0,-9.162971983E-4,-8.017600514E-3,-1.450803829E-3
4.625028441E0,-1.069013379E-3,-2.695440874E-2,2.687804960E-2
4.673125733E0,-1.985310577E-3,-1.817322709E-2,2.817613818E-2
4.721223128E0,-9.850194678E-3,-3.283398226E-3,1.282816008E-2
4.769320420E0,-1.908952370E-2,-2.351829410E-2,2.580903657E-2
4.817417712E0,-2.496909723E-2,-6.711876392E-2,3.703367710E-2
4.865515003E0,1.374445739E-3,-2.054032870E-2,2.672533318E-2
4.913612399E0,-2.092211880E-2,2.023489587E-2,1.244636998E-2
4.961709691E0,-3.039052337E-2,1.450803829E-3,2.817613818E-2
5.009806983E0,-8.093958721E-3,-2.527453005E-2,4.123337101E-3
5.057904274E0,9.850194678E-3,-5.421424750E-3,-2.977965865E-3
5.106001670E0,-1.863137633E-2,-2.764163166E-2,1.855501719E-2
5.154098962E0,7.635809598E-4,-7.330377586E-3,6.566796452E-3
5.202196253E0,-1.168278884E-2,-1.832594350E-2,9.697478265E-3
5.250293545E0,-3.061959706E-2,-1.763872057E-2,2.160934173E-2
5.298390941E0,-6.566796452E-3,-3.894262947E-3,8.933897130E-3
5.346488233E0,6.261364091E-3,-1.504254527E-2,1.481347065E-2
5.394585524E0,-6.872228812E-3,-2.084576152E-2,1.084284950E-2
5.442682920E0,-7.177661173E-3,-1.832594397E-3,1.488982886E-2
5.490780212E0,-1.702785492E-2,-1.382081583E-2,5.574141163E-3
5.538877503E0,9.697478265E-3,-9.544761851E-3,1.282816008E-2
5.586974795E0,-1.359174121E-2,-2.565632015E-2,8.704823442E-3
5.635072191E0,-2.443459118E-3,2.748891478E-3,4.276053514E-3
5.683169483E0,-9.773836471E-3,-7.483093534E-3,5.650499370E-3
5.731266774E0,2.672533505E-3,-8.781181648E-3,-4.810560029E-3
5.779364170E0,1.832594397E-3,6.414080039E-3,1.298087649E-3
5.827461462E0,-3.046688065E-2,5.650499370E-3,1.046105940E-2
5.875558753E0,-2.779434808E-2,-1.259908639E-2,1.404988952E-2
5.923656149E0,1.985310577E-2,-1.343902480E-2,-2.672533505E-3
5.971753441E0,2.672533318E-2,-2.519817324E-3,7.712167688E-3
6.019850733E0,-7.024944760E-3,-1.855501719E-2,9.544761851E-3
6.067948024E0,2.031125315E-2,-2.901607659E-3,9.086613543E-3
6.116045420E0,6.490438245E-3,-2.878700197E-2,2.267835476E-2
6.164142712E0,7.635809598E-4,-4.054614902E-2,2.290742844E-2
6.212240003E0,-1.893680729E-2,-1.595884189E-2,6.414080039E-3
6.260337399E0,-4.138609022E-2,1.450803829E-3,-3.894262947E-3
6.308434691E0,-8.781181648E-3,3.817904973E-3,-3.359756200E-3
6.356531983E0,1.947131567E-2,-7.254019380E-3,-5.345067009E-3
6.404629378E0,-1.450803829E-3,-1.466075517E-2,1.198822167E-2
6.452726670E0,-2.832885459E-2,-2.825249685E-3,1.229365356E-2
6.500823962E0,1.756236190E-3,9.392046370E-3,8.475748822E-3
6.548921253E0,-3.512472380E-3,-1.298087649E-2,-1.710421406E-2
6.597018649E0,7.712167688E-3,6.032289471E-3,-1.275180187E-2
6.645115941E0,-9.926552884E-3,5.115992390E-3,3.741546767E-3
6.693213233E0,-1.145371422E-2,-2.512181364E-2,1.473711245E-2
6.741310628E0,1.908952370E-2,2.367100911E-3,2.290742996E-4
6.789407920E0,-1.237001177E-2,7.330377586E-3,7.254019380E-3
6.837505212E0,-2.580903657E-2,1.756236190E-3,1.992946304E-2
6.885602608E0,2.672533505E-3,9.086613543E-3,6.948587019E-3
6.933699899E0,-2.290742937E-3,-1.298087649E-2,3.817904799E-4
6.981797191E0,-5.879573524E-3,7.635809743E-5,5.879573524E-3
