"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.522507100E-2,-6.942176819E-1,7.532306671E0,6.172883987E0
7.332340400E-2,-3.852444589E-1,7.533204079E0,6.445366859E0
1.214216330E-1,-2.997010350E-1,7.336992264E0,6.577271461E0
1.695198620E-1,-9.299107194E-1,7.522436142E0,6.981957436E0
2.176181960E-1,-3.403790295E-1,7.604988575E0,6.506682873E0
2.657164250E-1,-7.058826834E-2,7.578667641E0,6.006583214E0
3.138146540E-1,-2.291127741E-1,7.433004379E0,6.013761520E0
3.619129870E-1,-7.956135273E-2,7.438388348E0,6.099005699E0
4.100112160E-1,-3.266202807E-1,7.419544697E0,6.292824268E0
4.581094460E-1,-1.896311939E-1,7.527221680E0,6.333801746E0
5.062077790E-1,-2.207378894E-1,7.500302792E0,6.461518288E0
5.543060080E-1,-1.307079345E-1,7.551149845E0,6.162116528E0
6.024042370E-1,-1.271187067E-1,7.466204643E0,6.413362980E0
6.505025710E-1,-4.728815854E-1,7.444071293E0,6.478268147E0
6.986008000E-1,-1.809572130E-1,7.334599495E0,6.709474564E0
7.466990290E-1,-3.212364316E-1,7.367500782E0,6.496214390E0
7.947973620E-1,-1.232303679E-1,7.315456867E0,6.330212116E0
8.428955910E-1,-2.799602449E-1,7.208677292E0,6.813562393E0
8.909938210E-1,-1.579262912E-1,7.189833641E0,6.773183823E0
9.390920500E-1,-3.230310678E-1,7.226324558E0,6.656234264E0
9.871903830E-1,-2.051845491E-1,7.225128174E0,6.602396011E0
1.035288612E0,-3.553341627E-1,7.129116058E0,6.940980434E0
1.083386841E0,-2.273181528E-1,7.088737011E0,7.004390240E0
1.131485175E0,-2.877369225E-1,7.206583500E0,6.527021885E0
1.179583404E0,-3.233301640E-1,7.183851719E0,6.702595234E0
1.227681633E0,-2.285145670E-1,7.243971348E0,6.852446079E0
1.275779862E0,-2.437688112E-1,7.198507786E0,6.876374245E0
1.323878196E0,-1.082752272E-1,7.167101860E0,6.832107067E0
1.371976425E0,-6.879365072E-3,7.202096939E0,6.768397808E0
1.420074654E0,-6.251249462E-2,7.181757927E0,6.740581512E0
1.468172883E0,-9.302098304E-2,7.155735970E0,6.938288212E0
1.516271216E0,-1.932204217E-1,7.182356358E0,6.742375851E0
1.564369446E0,-1.633101404E-1,7.173383236E0,6.749255180E0
1.612467675E0,-1.549352705E-1,7.223333359E0,6.576074600E0
1.660566008E0,-2.015953064E-1,7.152445793E0,6.720242500E0
1.708664237E0,-1.405783296E-1,7.248457909E0,6.607181549E0
1.756762466E0,-1.142572835E-1,7.160222530E0,6.813562393E0
1.804860696E0,-1.103689447E-1,7.090531826E0,6.863512516E0
1.852959029E0,6.370890141E-2,7.095915318E0,6.753143787E0
1.901057258E0,-1.271187067E-1,7.036095142E0,6.801897526E0
1.949155487E0,-1.190429255E-1,7.151548862E0,6.731907368E0
1.997253716E0,-2.623131871E-1,7.193123817E0,6.813861370E0
2.045352050E0,-1.019940674E-1,7.223333359E0,6.773781776E0
2.093450279E0,-1.259222925E-1,7.198208809E0,6.768397808E0
2.141548508E0,-1.316052489E-2,7.130611420E0,6.720541477E0
2.189646841E0,8.973085135E-2,7.135696411E0,6.745965004E0
2.237745071E0,-1.238285750E-1,7.081558704E0,6.815656185E0
2.285843300E0,-1.178465188E-1,7.132705212E0,6.865008354E0
2.333941529E0,-2.216351926E-1,7.153941631E0,6.923333168E0
2.382039862E0,-2.347957194E-1,7.221538544E0,6.691229343E0
2.430138091E0,-1.809572130E-1,7.253243446E0,6.485147476E0
2.478236321E0,-2.769692242E-1,7.181159973E0,6.843771935E0
2.526334654E0,-1.689931005E-1,7.160222530E0,6.796214581E0
2.574432883E0,-2.584248483E-1,7.197012424E0,6.588038921E0
2.622531112E0,-2.368894368E-1,7.151249409E0,6.949953556E0
2.670629341E0,-2.895315289E-1,7.220940590E0,6.745068073E0
2.718727675E0,-2.003988922E-1,7.187440872E0,6.589235306E0
2.766825904E0,-1.600200087E-1,7.152445793E0,6.742675304E0
2.814924133E0,-5.802594870E-2,7.237690449E0,6.516254425E0
2.863022466E0,-1.480558962E-1,7.198806763E0,6.787839413E0
2.911120696E0,-1.881356835E-1,7.174579620E0,6.881757736E0
2.959218925E0,-1.157527938E-1,7.147959232E0,6.864110947E0
3.007317258E0,-1.477568001E-1,7.144968510E0,6.745367050E0
3.055415487E0,-2.156531364E-1,7.182356358E0,6.699903488E0
3.103513716E0,-2.300100774E-1,7.162316322E0,6.761817455E0
3.151612050E0,-7.387840003E-2,7.177869797E0,6.702894211E0
3.199710279E0,-2.333002090E-1,7.116553783E0,6.881458759E0
3.247808508E0,-5.593222752E-2,7.115057945E0,6.742974281E0
3.295906737E0,-1.677966863E-1,7.137789726E0,6.712465763E0
3.344005071E0,-1.980060786E-1,7.170691490E0,6.742675304E0
3.392103300E0,-2.015953064E-1,7.150352478E0,6.908079147E0
3.440201633E0,-1.360917836E-1,7.148856640E0,6.829115868E0
3.488299862E0,-9.990034252E-2,7.135696411E0,6.787839413E0
3.536398091E0,-1.522433460E-1,7.147361279E0,6.756732941E0
3.584496425E0,-2.246262282E-1,7.142874718E0,6.836892605E0
3.632594654E0,-2.036890239E-1,7.167101860E0,6.770491600E0
3.680692883E0,-1.764706671E-1,7.161418915E0,6.719644070E0
3.728791216E0,-1.905284971E-1,7.123134136E0,6.806085110E0
3.776889446E0,-1.316052526E-1,7.092326164E0,6.830910206E0
3.824987675E0,-1.956132501E-1,7.123433113E0,6.667600155E0
3.873086008E0,-2.386840582E-1,7.171887875E0,6.769893646E0
3.921184237E0,-2.638086975E-1,7.244270325E0,6.704091072E0
3.969282466E0,-1.639083475E-1,7.233801842E0,6.796513557E0
4.017380800E0,-2.802593410E-1,7.203592777E0,6.802794933E0
4.065479029E0,-1.091725305E-1,7.150950432E0,6.771090031E0
4.113577258E0,-1.600200087E-1,7.135995388E0,6.826124668E0
4.161675591E0,-4.037888348E-2,7.118946552E0,6.621239185E0
4.209773821E0,-1.211366430E-1,7.062715054E0,6.838088989E0
4.257872154E0,-1.612164229E-1,7.126124859E0,6.844669342E0
4.305970383E0,-2.380858511E-1,7.152445793E0,6.885945320E0
4.354068612E0,-2.410768867E-1,7.195516586E0,6.812964439E0
4.402166946E0,-2.054836452E-1,7.194619656E0,6.693622112E0
4.450265175E0,-2.171486616E-1,7.142276287E0,6.847062111E0
4.498363508E0,-1.830509305E-1,7.154839039E0,6.727121830E0
4.546461737E0,-2.111666054E-1,7.111169815E0,6.829713821E0
4.594559966E0,-1.534397453E-1,7.134799004E0,6.870391846E0
4.642658300E0,-1.941177398E-1,7.177271366E0,6.704689026E0
4.690756529E0,-2.159522474E-1,7.153642178E0,6.823133945E0
4.738854862E0,-1.426720470E-1,7.204190731E0,6.614359856E0
4.786953091E0,-2.530409992E-1,7.188936710E0,6.790531635E0
4.835051425E0,-1.037886813E-1,7.164709091E0,6.787839413E0
4.883149654E0,-2.213360965E-1,7.170392036E0,6.603293419E0
4.931247987E0,-4.336991161E-2,7.129116058E0,6.674778938E0
4.979346216E0,-2.321037948E-1,7.220342159E0,6.619444847E0
5.027444446E0,-1.549352705E-1,7.197012424E0,6.739085674E0
5.075542779E0,-2.943171859E-1,7.223632336E0,6.816553593E0
5.123641008E0,-2.410768867E-1,7.230212688E0,6.685247421E0
5.171739341E0,-2.542374134E-1,7.170392036E0,6.747161865E0
5.219837571E0,-1.995015889E-1,7.179664135E0,6.745965004E0
5.267935904E0,-1.764706671E-1,7.193423271E0,6.613163471E0
5.316034133E0,-1.642074585E-1,7.168298244E0,6.773781776E0
5.364132466E0,-2.270190418E-1,7.191927433E0,6.828517437E0
5.412230696E0,-1.453639716E-1,7.189235687E0,6.761817455E0
5.460329029E0,-2.494517565E-1,7.272087097E0,6.619145870E0
5.508427258E0,-1.872383654E-1,7.210172653E0,6.747161865E0
5.556525591E0,-2.315055877E-1,7.226324558E0,6.748058796E0
5.604623821E0,-1.292124242E-1,7.188338280E0,6.635895252E0
5.652722154E0,-2.578266263E-1,7.166204929E0,6.684648991E0
5.700820383E0,-2.054836452E-1,7.243672371E0,6.611967087E0
5.748918716E0,-2.249253243E-1,7.273582458E0,6.688836575E0
5.797017050E0,-2.665006220E-1,7.199405193E0,6.883851528E0
5.845115279E0,-2.730808854E-1,7.248158932E0,6.681957245E0
5.893213612E0,-1.636092514E-1,7.236793041E0,6.636493683E0
5.941311841E0,-2.670988142E-1,7.260122776E0,6.585646152E0
5.989410175E0,-2.512463629E-1,7.209275723E0,6.711269379E0
6.037508404E0,-2.949153781E-1,7.220043182E0,6.843173504E0
6.085606737E0,-1.830509305E-1,7.260122776E0,6.591030121E0
6.133704966E0,-1.944168359E-1,7.221538544E0,6.695715904E0
6.181803300E0,-2.192423791E-1,7.260122776E0,6.582654953E0
6.229901633E0,-2.590230405E-1,7.265207767E0,6.716353893E0
6.277999862E0,-2.195414752E-1,7.256533623E0,6.670292377E0
6.326098196E0,-1.983051747E-1,7.278368473E0,6.576074600E0
6.374196425E0,-2.120639086E-1,7.184749126E0,6.761817455E0
6.422294758E0,-2.437688112E-1,7.252047062E0,6.461518288E0
6.470393091E0,-2.422732860E-1,7.197311401E0,6.672086716E0
6.518491321E0,-2.144567221E-1,7.236494064E0,6.801897526E0
6.566589654E0,-1.483550072E-1,7.241279602E0,6.699305058E0
6.614687883E0,-1.091725305E-1,7.226324558E0,6.656533718E0
6.662786216E0,-1.836491376E-1,7.237690449E0,6.755536556E0
6.710884550E0,-2.751746178E-1,7.291528702E0,6.564409733E0
6.758982779E0,-2.925225794E-1,7.275676250E0,6.642774582E0
6.807081112E0,-2.754737139E-1,7.225726128E0,6.803991318E0
6.855179446E0,-1.914258152E-1,7.232904434E0,6.619444847E0
6.903277675E0,-2.596212626E-1,7.258926392E0,6.652645111E0
6.951376008E0,-2.231307179E-1,7.255636692E0,6.625127792E0
