"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.296106000E-2,-9.758564830E-2,-1.958585232E-1,3.680460155E-2
1.010593940E-1,-1.117882580E-1,-7.475458086E-2,-2.367100911E-3
1.491576230E-1,-1.672242396E-2,-2.067777216E-1,-4.657844082E-3
1.972558520E-1,1.453858167E-1,-1.553887278E-1,1.284343153E-1
2.453541850E-1,1.366809905E-1,-8.651372790E-2,7.360920310E-2
2.934524140E-1,2.619082667E-2,2.390008420E-2,4.176788032E-2
3.415506440E-1,-2.374736778E-2,4.046979360E-3,4.024071619E-2
3.896489770E-1,-5.482511222E-2,1.120936871E-1,5.803215317E-3
4.377472060E-1,-5.558869615E-2,-2.557996288E-2,1.145371469E-3
4.858454350E-1,-6.574432552E-2,2.901607659E-3,6.185005885E-3
5.339437690E-1,-2.443459071E-2,-2.596175298E-2,2.145662531E-2
5.820419980E-1,-1.010217592E-1,-1.802051067E-2,1.374445739E-3
6.301402270E-1,-9.071341902E-2,4.581485689E-2,-1.412624773E-2
6.782385600E-1,-1.062904745E-1,-7.254019380E-3,1.908952370E-2
7.263367890E-1,-3.184132650E-2,3.764454275E-2,-2.466366626E-2
7.744350190E-1,-3.886627033E-2,3.497200832E-2,1.359174121E-2
8.225333520E-1,-1.478292793E-1,-3.970621154E-2,-1.718057133E-2
8.706315810E-1,-7.612902671E-2,-3.489565104E-2,1.114828233E-2
9.187298100E-1,-5.070177838E-2,-2.443459071E-2,-1.267544460E-2
9.668280390E-1,-7.276926935E-2,-6.131555140E-2,9.926552884E-3
1.014926373E0,-1.098029464E-1,-2.725984156E-2,-6.795870606E-3
1.063024602E0,-3.802633286E-2,-2.199113183E-2,1.786779426E-2
1.111122831E0,3.634645417E-2,-4.352411628E-2,-1.389717404E-2
1.159221060E0,-4.245510325E-2,-6.337722298E-3,8.017600514E-3
1.207319394E0,-5.726857483E-2,-3.298669681E-2,3.611737862E-2
1.255417623E0,-2.328922041E-2,3.657552972E-2,4.917461425E-2
1.303515852E0,-1.527161920E-3,2.428187430E-2,6.979130208E-2
1.351614185E0,4.734201822E-3,-1.679878100E-3,4.352411628E-2
1.399712414E0,7.635809947E-3,5.184714869E-2,2.160934173E-2
1.447810644E0,-1.519526169E-2,-1.664606482E-2,-1.122464053E-2
1.495908873E0,5.062541738E-2,1.244636998E-2,-2.710712515E-2
1.544007206E0,3.268126398E-2,-3.588830587E-3,-1.420260593E-2
1.592105435E0,2.641990222E-2,-6.032289565E-2,-2.565632015E-2
1.640203664E0,-2.672533505E-3,3.703367710E-2,-1.244636998E-2
1.688301998E0,6.337722298E-3,-2.641990222E-2,-5.421424750E-3
1.736400227E0,-3.726275265E-2,9.926552884E-3,-2.367100911E-3
1.784498456E0,-1.817322709E-2,1.137735695E-2,-2.138026757E-3
1.832596685E0,-7.941242307E-3,-6.612611562E-2,-4.505127668E-3
1.880695019E0,2.443459118E-3,2.848157100E-2,-3.749182448E-2
1.928793248E0,1.366809942E-2,-3.619373962E-2,-2.886336111E-2
1.976891477E0,-6.414080039E-3,1.908952487E-3,-2.809977904E-2
2.024989706E0,-3.283398226E-3,-1.611155830E-2,2.313650399E-2
2.073088039E0,-9.086613543E-3,-2.985601686E-2,1.695149764E-2
2.121186269E0,3.665188793E-3,2.672533505E-3,2.886336111E-2
2.169284498E0,-1.893680729E-2,-3.229947388E-2,-3.359756200E-3
2.217382727E0,-1.626427472E-2,4.451677203E-2,-3.260490671E-2
2.265481060E0,-1.947131567E-2,8.704823442E-3,-2.687804960E-2
2.313579289E0,7.635809743E-5,1.748600416E-2,-1.794415340E-2
2.361677519E0,4.841103405E-2,1.588248461E-2,-9.773836471E-3
2.409775852E0,3.901898861E-2,2.267835476E-2,-1.450803829E-3
2.457874081E0,-3.604102135E-2,3.596466407E-2,3.817904973E-3
2.505972310E0,-2.443459118E-3,1.030834299E-2,1.702785492E-2
2.554070644E0,2.069304511E-2,2.748891525E-2,1.023198478E-2
2.602168873E0,-4.207331315E-2,-2.099847607E-2,1.542433538E-2
2.650267102E0,4.398226365E-2,5.795579776E-2,2.351829410E-2
2.698365331E0,2.092211880E-2,-6.108647678E-3,4.955640435E-2
2.746463664E0,-2.260199748E-2,-2.237292193E-2,4.986183718E-2
2.794561894E0,1.298087649E-2,1.580612548E-2,4.512763396E-2
2.842660123E0,-5.528326333E-2,2.985601686E-2,3.436114406E-3
2.890758456E0,-2.443459071E-2,2.809977904E-2,4.046979360E-3
2.938856685E0,5.421424750E-3,2.313650399E-2,7.024944760E-3
2.986954914E0,1.160643063E-2,5.421424750E-3,-1.832594397E-3
3.035053248E0,1.069013402E-2,-1.634063199E-2,-2.748891478E-3
3.083151477E0,-4.886918236E-3,1.305723470E-2,8.323032409E-3
3.131249706E0,5.115992390E-3,-4.963276442E-3,1.030834299E-2
3.179348039E0,-1.656970754E-2,3.497200832E-2,-6.337722298E-3
3.227446269E0,6.108647678E-3,-2.183841541E-2,8.017600514E-3
3.275544498E0,2.290742937E-3,2.687804960E-2,-1.153007243E-2
3.323642831E0,-1.870773360E-2,-9.315688163E-3,-3.894262947E-3
3.371741060E0,-2.703076601E-2,-7.483093534E-3,-5.497782957E-3
3.419839289E0,1.427896414E-2,2.527453005E-2,7.406735327E-3
3.467937519E0,4.276053514E-3,-3.123046272E-2,-9.468403645E-3
3.516035852E0,1.038470119E-2,7.712167688E-3,-9.697478265E-3
3.564134081E0,-9.621120058E-3,-2.596175298E-2,-1.947131567E-2
3.612232414E0,2.000582218E-2,1.756236190E-3,-8.475748822E-3
3.660330644E0,1.962403022E-2,6.490438245E-3,4.352411721E-3
3.708428873E0,-1.924224012E-2,-2.244928107E-2,3.817904799E-4
3.756527206E0,-4.963276442E-3,-1.748600416E-2,5.879573524E-3
3.804625435E0,1.282816008E-2,-1.374445739E-3,-1.427896414E-2
3.852723664E0,-9.926552884E-3,-1.282816008E-2,-1.855501719E-2
3.900821998E0,1.069013379E-3,2.390008420E-2,-5.039634649E-3
3.948920227E0,-2.718348242E-2,-8.093958721E-3,1.443168055E-2
3.997018456E0,-1.458439697E-2,1.389717404E-2,1.091920771E-2
4.045116789E0,-9.010255337E-3,-2.825249685E-3,2.779434808E-2
4.093215019E0,-4.352411721E-3,1.954767294E-2,3.283398226E-3
4.141312831E0,1.649334840E-2,3.283398226E-3,5.192350596E-3
4.189411581E0,-2.962694131E-2,2.703076601E-2,-1.687514037E-2
4.237509810E0,-1.542433538E-2,-9.621120058E-3,-2.634354308E-2
4.285608144E0,-3.665188793E-3,1.450803829E-3,-2.626718581E-2
4.333706373E0,1.870773360E-2,-1.740964688E-2,-2.138026804E-2
4.381804602E0,2.229656465E-2,-2.390008420E-2,-1.091920771E-2
4.429902935E0,-3.588830587E-3,1.275180187E-2,-2.977965865E-3
4.478001164E0,1.863137633E-2,-1.817322709E-2,-9.850194678E-3
4.526099498E0,3.054323839E-3,1.626427472E-2,2.061668551E-3
4.574197727E0,1.015562657E-2,-2.252563834E-2,-3.054323839E-3
4.622296060E0,4.589121789E-2,1.061377581E-2,-4.886918236E-3
4.670394914E0,1.435532235E-2,-9.621120058E-3,-1.985310577E-3
4.718492519E0,4.039343446E-2,-7.635809598E-4,1.603520010E-3
4.766590852E0,3.359756200E-3,2.374736778E-2,-4.352411721E-3
4.814689081E0,1.710421406E-2,-3.275762498E-2,-1.908952487E-3
4.862787414E0,5.390881747E-2,3.611737862E-2,-3.359756200E-3
4.910885644E0,3.054323897E-4,-3.306305781E-2,2.290742937E-3
4.958983977E0,3.283398226E-3,-1.412624773E-2,-2.397644334E-2
5.007082206E0,-2.794706449E-2,-1.229365356E-2,-8.781181648E-3
5.055180539E0,-1.611155830E-2,7.177661173E-3,-3.176496923E-2
5.103278769E0,2.970330045E-2,3.367391974E-2,-1.603520010E-3
5.151376998E0,-1.519526169E-2,-2.336557768E-2,-3.817904973E-3
