"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.795324000E-2,-2.365305185E0,6.276971817E0,5.626124382E0
3.719230200E-2,-2.036890268E0,6.549753666E0,6.180660725E0
5.643136500E-2,-1.797608018E0,6.442076683E0,6.457630157E0
7.567042700E-2,-1.789233088E0,6.478567123E0,6.504290104E0
9.490949000E-2,-1.966900229E0,6.483951092E0,6.507281303E0
1.141484480E-1,-2.003390789E0,6.602993965E0,6.563512325E0
1.333875100E-1,-1.932204247E0,6.579664230E0,6.787241459E0
1.526265730E-1,-2.053640127E0,6.424130440E0,6.803991318E0
1.718656350E-1,-2.185843468E0,6.364908218E0,6.639484406E0
1.911046980E-1,-2.140379906E0,6.343372822E0,6.530611038E0
2.103437600E-1,-2.115853310E0,6.522834301E0,6.539584160E0
2.295828230E-1,-1.917847395E0,6.707081795E0,6.373881340E0
2.488217810E-1,-1.849651933E0,6.856633186E0,6.172883987E0
2.680608440E-1,-1.713261008E0,6.948158741E0,5.889933109E0
2.872999060E-1,-1.369890928E0,7.076773167E0,5.808577061E0
3.065389690E-1,-1.743171334E0,7.284948349E0,6.284150600E0
3.257780310E-1,-2.142174482E0,7.503293514E0,7.086942673E0
3.450170940E-1,-2.000998020E0,7.540382385E0,7.244868755E0
3.642560520E-1,-1.599601984E0,7.936394691E0,6.794419765E0
3.834951150E-1,-1.713859200E0,8.134400368E0,6.487540245E0
4.027341770E-1,-1.490130305E0,7.939385414E0,6.446862221E0
4.219732400E-1,-1.209571838E0,7.880761147E0,6.073582172E0
4.412123020E-1,-9.954141974E-1,7.805985451E0,5.958128452E0
4.604513650E-1,-8.895317912E-1,7.600203037E0,6.230311871E0
4.796903230E-1,-7.322037220E-1,7.145566463E0,6.920641422E0
4.989293850E-1,-3.044866920E-1,6.849454880E0,7.757531166E0
5.181684480E-1,3.511467278E-1,6.981658459E0,8.487939835E0
5.374075100E-1,1.082752228E0,7.154539585E0,8.753543854E0
5.566465730E-1,1.134197950E0,6.459424496E0,8.573483467E0
5.758855310E-1,6.897311211E-1,5.882156372E0,8.221140862E0
5.951245940E-1,1.064806059E-1,5.322834015E0,8.965906143E0
6.143636560E-1,6.065805554E-1,5.120640278E0,9.158528328E0
6.336027190E-1,7.573283911E-1,4.861617565E0,9.299106598E0
6.528417810E-1,6.915257573E-1,4.671388149E0,9.664012909E0
6.720807400E-1,6.382854581E-1,4.703691006E0,9.846465111E0
6.913198020E-1,1.043270707E0,4.732405186E0,9.195018768E0
7.105588650E-1,3.720839322E-1,4.789832592E0,8.391629219E0
7.297979270E-1,-1.395613790E0,5.078765869E0,8.201399803E0
7.490369900E-1,-1.672582984E0,5.166104317E0,7.919644833E0
7.682759480E-1,6.041877344E-2,4.846662045E0,7.853243828E0
7.875150100E-1,1.214955688E0,4.765904427E0,7.865208149E0
8.067540730E-1,1.899302959E0,5.033302307E0,7.833503246E0
8.259931350E-1,1.752742529E0,5.203192711E0,7.721638680E0
8.452321980E-1,1.147358418E0,5.379663467E0,6.923632145E0
8.644711560E-1,-9.212367237E-2,5.877370834E0,6.576074600E0
8.837102190E-1,9.391828626E-2,5.914459229E0,6.726224422E0
9.029492810E-1,1.131206870E0,6.090929985E0,6.317649841E0
9.221883440E-1,9.708877802E-1,6.882356167E0,6.183053493E0
9.414274060E-1,1.573879123E0,7.231110096E0,6.105287075E0
9.606663650E-1,2.127817631E0,7.255038261E0,5.446064472E0
9.799054270E-1,1.097109199E0,7.499105930E0,4.831109047E0
9.991444900E-1,-5.210371017E-1,7.486543655E0,5.286941528E0
1.018383552E0,4.821537733E-1,7.387839794E0,5.347958565E0
1.037622510E0,1.133599758E0,7.958528042E0,5.532206059E0
1.056861573E0,8.685946465E-1,8.502297401E0,5.377869129E0
1.076101260E0,6.023930907E-1,8.958129883E0,5.112265587E0
1.095339698E0,5.234299302E-1,9.096913338E0,4.983053207E0
1.114578760E0,2.267199457E-1,8.801998138E0,6.828517437E0
1.133817719E0,2.404786795E-1,8.404191017E0,8.434102058E0
1.153056781E0,2.991028316E-2,8.679366112E0,8.628518105E0
1.172295844E0,-3.290131316E-2,8.574680328E0,7.748558044E0
1.191534906E0,8.285148144E-1,8.242675781E0,7.062416077E0
1.210773865E0,1.676172256E0,8.064410210E0,7.157530785E0
1.230012927E0,1.177866936E0,8.087141991E0,7.619943619E0
1.249251990E0,5.952146053E-1,7.733004570E0,7.628318787E0
1.268491052E0,6.843472719E-1,7.261020184E0,7.483552933E0
1.287730010E0,1.117448211E0,7.111468792E0,7.383054256E0
1.306969073E0,1.328016520E0,7.168896675E0,6.899703979E0
1.326208135E0,1.595414519E0,7.264011383E0,5.782256126E0
1.345447198E0,1.440479279E0,7.194619656E0,5.228317261E0
1.364686156E0,7.734799385E-1,6.990631580E0,5.603392601E0
1.383925219E0,8.117650747E-1,6.847660065E0,5.959922791E0
1.403164281E0,7.686942816E-1,6.877570629E0,6.052046776E0
1.422403344E0,4.845465720E-1,6.969096184E0,5.654240131E0
1.441642406E0,-9.212367237E-2,6.970890522E0,5.229514122E0
1.460881365E0,-4.618147612E-1,6.876374245E0,5.224728107E0
1.480120427E0,-5.156532526E-1,6.940980434E0,5.602196217E0
1.499359490E0,-4.079762697E-1,6.743572235E0,5.890531063E0
1.518598552E0,-2.602194548E-1,6.837490559E0,5.819942951E0
1.537837510E0,1.914258152E-1,7.237690449E0,5.679364681E0
1.557076573E0,5.904290080E-1,7.424928665E0,5.860620975E0
1.576315635E0,7.286145091E-1,7.569096088E0,5.518447399E0
1.595554698E0,8.261220455E-1,7.875975609E0,4.869394302E0
1.614793656E0,9.768698215E-1,8.219346046E0,4.469792843E0
1.634032719E0,1.347757339E0,8.504091263E0,4.252644062E0
