"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.606933300E-2,-1.538615674E-1,-1.399643868E-1,2.567922771E-1
5.530839600E-2,-2.548069656E-1,-1.799760312E-1,2.552651167E-1
7.454745800E-2,-3.192532063E-1,-2.893971838E-2,2.499200553E-1
9.378652100E-2,-3.673588037E-1,1.506545246E-1,2.683987021E-1
1.130254790E-1,-3.833940029E-1,1.868482679E-1,2.897789776E-1
1.322645420E-1,-3.869064748E-1,1.343138963E-1,2.902371287E-1
1.515036040E-1,-3.766745031E-1,1.202640012E-1,2.784779668E-1
1.707426670E-1,-3.664425015E-1,1.532506943E-1,2.989419401E-1
1.899817290E-1,-3.710239828E-1,2.393826395E-1,3.536143601E-1
2.092207920E-1,-3.352884054E-1,3.209330738E-1,4.171442986E-1
2.284598540E-1,-2.558759749E-1,3.526980579E-1,4.782307744E-1
2.476988130E-1,-1.746309698E-1,3.018435538E-1,4.941132367E-1
2.669378750E-1,-1.512653977E-1,1.275943816E-1,4.924333692E-1
2.861769380E-1,-1.964693815E-1,-1.275180187E-2,4.684569240E-1
3.054160000E-1,-2.326631248E-1,-3.459021822E-2,4.348593652E-1
3.246550630E-1,-2.057850659E-1,-2.099847607E-2,4.796051979E-1
3.438941250E-1,-1.605810821E-1,1.366809942E-2,5.185478330E-1
3.631330830E-1,-1.740200967E-1,-6.696604937E-2,4.765508771E-1
3.823721460E-1,-2.337321341E-1,-4.056905806E-1,4.628064334E-1
4.016112080E-1,-2.997055352E-1,-8.493311405E-1,4.583776593E-1
4.208502710E-1,-3.397171795E-1,-1.357417941E0,4.282925725E-1
4.400893330E-1,-4.362338185E-1,-1.848858595E0,4.243219495E-1
4.593283960E-1,-6.294198036E-1,-1.964922905E0,4.530325830E-1
4.785673540E-1,-8.554397821E-1,-1.727143764E0,5.251146555E-1
4.978064170E-1,-9.030871987E-1,-1.261512160E0,6.248382926E-1
5.170454790E-1,-7.699186802E-1,-6.239219904E-1,7.390699983E-1
5.362845420E-1,-4.869355857E-1,-9.659299254E-2,7.951168418E-1
5.555236040E-1,-1.611919403E-1,-2.008217946E-2,6.984475255E-1
5.747625630E-1,-4.512763396E-2,-7.063124329E-2,5.738310814E-1
5.940016250E-1,-1.098793000E-1,-1.810450554E-1,5.509236455E-1
6.132406880E-1,-1.669951528E-1,-5.135082006E-1,5.327504277E-1
6.324797500E-1,-1.572213173E-1,-8.810960650E-1,4.745655656E-1
6.517188130E-1,-1.370627880E-1,-6.446914077E-1,4.721221030E-1
6.709577710E-1,-1.397353224E-2,-1.066722646E-1,5.048033595E-1
6.901968330E-1,2.074649483E-1,6.788235158E-2,5.187005401E-1
7.094358960E-1,3.714821339E-1,5.887209252E-2,4.702895284E-1
7.286749580E-1,4.689150751E-1,5.917752534E-2,5.924624801E-1
7.479140210E-1,5.512291193E-1,9.705114365E-2,8.662826419E-1
7.671529790E-1,5.422188640E-1,3.711767197E-1,1.029078126E0
7.863920420E-1,4.840339720E-1,1.162399292E0,1.067409873E0
8.056311040E-1,5.492438078E-1,1.585575938E0,1.038546443E0
8.248701670E-1,6.651554108E-1,1.692477226E0,9.568433166E-1
8.441092290E-1,7.641154528E-1,1.462944746E0,9.342412949E-1
