timestamp,room,bssid,ssid,rssi
1765110175,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110175,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110175,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110176,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110176,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110176,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110177,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110177,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110177,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110178,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110178,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110178,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110180,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110180,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110180,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110181,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110181,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110181,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110182,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110182,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110182,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110184,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110184,G077,d8:0a:60:cd:15:80,SABANCIUNIV,85
1765110184,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110185,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110185,G077,d8:0a:60:cd:15:80,SABANCIUNIV,83
1765110185,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110186,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110186,G077,d8:0a:60:cd:15:80,SABANCIUNIV,83
1765110186,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110187,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110187,G077,d8:0a:60:cd:15:80,SABANCIUNIV,83
1765110187,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
1765110189,G077,c4:16:c8:12:23:a0,SABANCIUNIV,53
1765110189,G077,d8:0a:60:cd:15:80,SABANCIUNIV,83
1765110189,G077,c4:16:c8:12:5c:e0,SABANCIUNIV,78
