sensor_configuration,num_features,accuracy,precision,recall,f1_score
All sensors,23,0.9978540772532188,0.997134670487106,1.0,0.9985652797704447
No PIR,19,0.9978540772532188,1.0,0.9971264367816092,0.9985611510791367
No CO2,18,0.9957081545064378,0.9971264367816092,0.9971264367816092,0.9971264367816092
No Time,22,0.9957081545064378,0.9971264367816092,0.9971264367816092,0.9971264367816092
No Noise,20,0.9935622317596566,0.994269340974212,0.9971264367816092,0.9956958393113343
No Temperature,20,0.9871244635193133,0.9913793103448276,0.9913793103448276,0.9913793103448276
Temperature + Humidity + Light,10,0.9871244635193133,0.9942196531791907,0.9885057471264368,0.9913544668587896
No Light,18,0.9849785407725322,0.9857549857549858,0.9942528735632183,0.9899856938483548
Temperature + Light + Time,9,0.9849785407725322,0.9942028985507246,0.985632183908046,0.98989898989899
Humidity + Light + Noise,10,0.9828326180257511,0.9829545454545454,0.9942528735632183,0.9885714285714285
Temperature + Humidity + Noise,8,0.9828326180257511,0.9857142857142858,0.9913793103448276,0.9885386819484241
No Humidity,21,0.9785407725321889,0.9801136363636364,0.9913793103448276,0.9857142857142858
Temperature + Light + Noise,11,0.9785407725321889,0.9801136363636364,0.9913793103448276,0.9857142857142858
Humidity + Light + Time,8,0.9763948497854077,0.9828080229226361,0.985632183908046,0.9842180774748924
Temperature + Light + CO2,13,0.9742489270386266,0.98,0.985632183908046,0.9828080229226361
